matchid,accountid,assists,deaths,denies,firstblood,gpm,herodamage,heroheal,heroid,kills,last_hits,level,obsplaced,rune_pickups,kpm,senplaced,towerdamage,killbytower,xpm,name,duration,radiwin,win,totalgold,totalxp,kda,neukill,towerkill,courkill,lanekill,herokill,obskill,senkill,roshankill,necrokill,ancikill,obsuse,senuse,roam,obspurch,senpurch,tppurch,tenxp,tengold,tendn,tefipar,laneff,apm
3750461499,106573901,9,0,9,0,707,36085,80,34,9,491,24,0,4,0.2088167053364269,0,530,1,621,No[o]ne-,2586,False,1,30471,26765,18,191,1,0,295,9,1,0,1,4,22,0,0,False,0,0,2,3137,2275,4,0.6,0.7486426704202694,278
3750343882,106573901,10,2,22,0,480,19376,0,47,6,218,21,0,5,0.17005196032120926,0,3234,1,555,No[o]ne-,2117,True,0,16936,19582,5,66,1,0,161,6,1,0,1,1,5,0,0,False,0,0,7,3215,2306,19,0.55172414,0.6539312286346269,396
3750244771,106573901,7,0,28,0,648,20649,0,72,11,292,22,0,7,0.3314917127071823,0,3275,3,641,No[o]ne-,1991,True,1,21502,21270,18,120,3,0,192,11,0,0,1,0,39,0,0,False,0,0,5,2754,1969,13,0.6,0.6346269857229037,463
3747320300,106573901,7,7,18,0,470,21444,0,19,3,364,24,0,12,0.05739795918367347,0,2623,3,482,No[o]ne-,3136,False,0,24565,25192,1,129,3,0,237,4,1,0,0,0,14,0,0,False,0,0,14,2763,2623,15,0.45454547,0.7631208526040619,394
3747183006,106573901,7,5,13,0,647,56012,0,72,16,636,25,0,12,0.2742857142857143,0,2195,2,710,No[o]ne-,3500,True,0,37741,41416,3,269,2,0,364,15,0,0,0,0,64,0,0,False,0,0,8,2495,1818,6,0.8518519,0.6131107983108788,419
3744526729,106573901,14,2,14,0,668,34866,0,49,10,326,25,0,2,0.24968789013732837,0,7941,3,712,No[o]ne-,2403,False,1,26753,28515,8,107,3,0,217,10,0,0,1,0,19,0,0,False,0,0,10,3208,2615,10,0.6857143,0.8473758294791877,410
3744481509,106573901,7,1,44,0,710,28688,0,72,8,276,22,0,7,0.264026402640264,0,6711,3,711,No[o]ne-,1818,True,1,21513,21543,7,90,3,0,207,8,0,0,2,0,6,0,0,False,0,0,6,2774,2605,25,0.5555556,0.8421475970239293,450
3743825941,106573901,17,2,10,0,542,19650,0,39,5,248,23,0,15,0.14492753623188406,0,1724,0,643,No[o]ne-,2070,False,1,18699,22183,7,48,0,0,189,5,0,1,0,4,0,0,0,False,0,0,8,2082,1938,6,0.7241379,0.5757088276694149,444
3700150918,106573901,1,3,27,0,463,15902,0,43,5,173,17,0,3,0.17191977077363896,0,3800,2,455,No[o]ne-,1745,False,0,13465,13232,1,15,2,0,175,5,0,0,0,2,0,0,0,False,0,0,6,3179,2872,12,0.5,0.8821636838930224,412
3700059851,106573901,6,4,20,0,583,25932,0,39,10,296,23,0,19,0.2799813345776948,0,328,1,681,No[o]ne-,2143,True,0,20822,24323,3,84,1,0,221,10,0,0,0,0,16,0,0,False,0,0,11,2760,2167,9,0.5714286,0.695958174140358,391
3698247222,106573901,5,4,27,0,400,10246,80,60,2,207,22,0,21,0.048484848484848485,0,214,1,502,No[o]ne-,2475,False,0,16500,20707,1,62,1,0,165,2,1,0,0,0,7,0,0,False,0,0,8,2911,2699,16,0.7,0.7954956766539313,428
3698141876,106573901,10,4,24,1,545,44703,0,43,14,351,25,0,19,0.24852071005917162,0,851,0,612,No[o]ne-,3380,True,0,30701,34476,4,28,0,0,317,14,3,2,0,0,0,0,0,False,0,0,12,2767,3090,16,0.7741935,0.9006635833500904,421
3695231259,106573901,14,3,11,0,552,27416,0,19,10,202,22,0,10,0.2826189354686764,0,3314,4,618,No[o]ne-,2123,True,1,19531,21866,6,62,4,0,137,10,0,0,1,0,9,0,0,False,0,0,12,3110,2289,7,0.6486486,0.8097727729740599,439
3695119172,106573901,8,3,13,0,640,34138,0,19,6,299,23,0,14,0.162748643761302,0,3372,4,641,No[o]ne-,2212,False,1,23594,23631,3,100,4,0,178,6,2,0,0,4,22,0,0,False,0,0,7,2850,2683,11,0.53846157,0.8455660567062135,426
3694623523,106573901,15,1,25,1,708,43167,0,13,14,266,25,0,21,0.36665211697948497,0,1762,2,793,No[o]ne-,2291,False,1,27033,30279,14,26,2,0,254,14,0,0,1,1,0,0,0,False,0,0,6,3166,3038,13,0.8055556,0.8101749447013875,420
3625490002,106573901,7,1,29,0,800,12556,0,48,6,290,21,0,6,0.22741629816803538,0,11761,4,736,No[o]ne-,1583,False,1,21106,19418,6,107,4,0,196,6,0,0,0,0,15,0,0,False,0,0,6,2461,2960,20,0.43333334,0.8976472953951338,441
3625422067,106573901,11,3,27,0,598,27282,0,15,11,313,25,0,10,0.24390243902439027,0,5336,4,703,No[o]ne-,2706,False,1,26969,31705,5,63,4,0,263,11,0,0,1,0,4,0,0,False,0,0,8,3642,3006,20,0.64705884,0.8463704001608687,440
3625366950,106573901,6,5,36,0,673,19250,0,11,7,379,23,0,8,0.1935483870967742,0,4879,5,660,No[o]ne-,2170,False,0,24340,23870,2,119,5,0,281,7,0,0,0,0,3,0,0,False,0,0,7,2982,3110,21,0.65,0.9585763120852604,411
3625315335,106573901,6,0,31,0,638,19913,9,10,9,204,19,0,12,0.3187721369539552,0,6107,2,585,No[o]ne-,1694,False,1,18012,16516,15,69,2,0,155,10,1,1,0,0,17,0,0,True,0,0,5,1452,1782,11,0.46875,0.6392519605871707,417
3624958444,106573901,13,4,15,0,550,23147,160,19,7,235,24,0,19,0.18551236749116606,0,4413,2,678,No[o]ne-,2264,False,1,20753,25583,4,70,2,0,168,7,0,0,0,0,26,0,0,False,0,0,8,2106,2249,8,0.5555556,0.6822843354112206,416
3624843844,106573901,7,1,36,0,693,22729,0,19,11,290,24,0,12,0.32608695652173914,0,4042,3,741,No[o]ne-,2024,False,1,23377,24996,9,49,3,0,247,11,1,0,0,5,3,0,0,False,0,0,8,3041,2598,24,0.75,0.8308867886587573,420
3620796674,106573901,15,8,23,0,600,32399,2056,14,19,238,25,0,9,0.4148471615720524,0,379,1,646,No[o]ne-,2748,True,1,27480,29586,3,27,1,0,221,19,2,1,0,0,0,0,0,False,0,0,8,2529,2863,13,0.7083333,0.7993163080635431,404
3620742450,106573901,6,2,20,0,581,37313,916,34,13,219,20,0,6,0.40773653946680605,0,321,0,537,No[o]ne-,1913,True,1,18524,17121,6,48,0,0,188,13,0,0,0,0,0,0,0,False,0,0,1,2829,2204,11,0.6551724,0.7251156243716067,331
3620675836,106573901,7,1,28,0,617,24306,0,19,11,244,23,0,5,0.31730769230769235,0,6019,1,698,No[o]ne-,2080,True,1,21389,24197,9,76,1,0,183,11,0,0,1,0,19,0,0,False,0,0,6,3366,2745,18,0.54545456,0.8962396943494872,421
3616571379,106573901,9,4,22,0,493,16232,0,41,9,161,21,0,7,0.2719033232628399,0,3615,1,569,No[o]ne-,1986,False,1,16318,18833,3,38,1,0,136,8,1,0,0,0,3,0,0,False,0,0,9,2586,2103,10,0.6296296,0.7009853207319525,384
3616514538,106573901,8,2,26,0,576,38428,0,19,14,220,23,0,11,0.3687445127304653,0,4350,2,639,No[o]ne-,2278,True,1,21868,24260,7,50,2,0,180,14,0,0,0,0,18,0,0,False,0,0,3,2544,2625,19,0.64705884,0.7842348682887593,405
3616461072,106573901,3,1,16,0,945,15989,0,94,12,401,24,0,9,0.4013377926421405,0,13235,4,862,No[o]ne-,1794,False,1,28255,25773,7,165,4,0,237,12,0,0,0,0,54,0,0,False,0,0,6,2739,3090,16,0.7368421,0.9153428513975468,389
3609753657,106573901,2,4,16,0,526,5810,0,46,3,224,18,0,4,0.11842105263157895,0,35,0,563,No[o]ne-,1520,False,0,13325,14262,1,87,0,0,144,3,0,0,0,0,27,0,0,False,0,0,6,2611,2233,9,0.4,0.7044037804142369,441
3609602443,106573901,14,4,14,0,456,17524,0,20,3,362,25,0,4,0.05863192182410424,0,1797,3,574,No[o]ne-,3070,False,0,23332,29369,3,154,3,0,203,3,1,0,0,0,10,0,0,False,0,0,14,2151,1741,7,0.6296296,0.5487633219384678,391
3607631172,106573901,3,4,29,0,571,24533,0,76,8,402,25,0,11,0.15574302401038287,0,32,0,683,No[o]ne-,3082,False,0,29330,35083,2,112,0,0,308,8,0,0,0,0,0,0,0,False,0,0,13,2447,2248,12,0.52380955,0.7713653730142771,383
3607291192,106573901,15,2,34,0,404,8371,0,20,1,118,17,0,2,0.04059539918809202,0,1226,1,521,No[o]ne-,1478,True,1,9951,12833,5,24,1,0,126,1,0,0,0,0,0,0,0,False,0,0,7,2610,2068,21,0.55172414,0.6056706213553187,427
3607109048,106573901,5,3,18,0,707,9072,0,48,3,348,22,0,7,0.08986520219670494,0,10779,3,643,No[o]ne-,2003,False,1,23602,21465,2,148,3,0,203,3,0,0,0,0,46,0,0,False,0,0,4,1856,1706,4,0.36363637,0.5853609491252765,416
3606910502,106573901,10,4,22,0,554,19143,0,43,13,241,24,0,10,0.31681559707554835,1,3781,2,612,No[o]ne-,2462,True,1,22732,25112,4,35,2,0,213,13,1,1,0,0,6,0,1,False,0,1,10,2566,2647,13,0.54761904,0.8463704001608687,399
3605691617,106573901,6,1,40,0,502,12387,0,47,5,165,19,0,4,0.18248175182481752,0,2368,2,564,No[o]ne-,1644,True,1,13754,15453,5,37,2,0,162,5,0,0,1,0,0,0,0,False,0,0,5,3307,2346,15,0.57894737,0.6338226422682486,440
3605580580,106573901,14,0,47,0,711,19066,0,11,13,376,24,0,8,0.36127836961556276,0,10148,4,742,No[o]ne-,2159,True,1,25584,26699,27,147,4,1,238,13,1,0,0,0,6,0,0,False,0,0,8,3177,3114,35,0.7941176,0.9089081037603056,440
3605341105,106573901,13,10,19,0,694,68507,0,46,9,756,25,0,10,0.12808349146110057,0,2511,0,700,No[o]ne-,4216,True,0,48765,49186,2,261,0,0,484,9,1,2,0,0,81,0,0,False,4,12,10,2425,2063,8,0.62857145,0.6547355720892821,391
3605037754,106573901,1,4,41,0,453,8062,0,76,4,166,17,0,2,0.14388489208633093,0,0,0,503,No[o]ne-,1668,False,0,12593,13983,1,40,0,0,164,4,0,0,0,0,0,0,0,False,0,0,7,2493,2396,25,0.5,0.7160667605067363,431
3594540805,106573901,4,4,21,0,537,41334,80,34,5,355,22,0,9,0.1272264631043257,0,0,0,527,No[o]ne-,2358,False,0,21104,20711,1,99,0,0,268,5,0,0,0,1,0,0,0,False,0,0,2,2739,2593,20,0.8181818,0.7160667605067363,322
3594381943,106573901,13,8,24,0,478,35641,0,43,12,338,25,0,16,0.18808777429467083,0,4098,4,602,No[o]ne-,3828,True,0,30496,38407,2,96,4,0,254,12,1,0,0,0,7,0,0,False,0,0,13,2493,2469,14,0.7352941,0.6233661773577317,386
3593368959,106573901,9,6,22,0,495,22255,0,43,6,300,23,0,6,0.13651877133105803,0,1224,2,528,No[o]ne-,2637,False,0,21755,23205,2,36,2,0,268,6,0,1,2,0,6,0,0,False,0,0,11,2476,2303,9,0.5555556,0.6382465312688518,425
3593288991,106573901,4,7,10,0,462,13004,115,17,4,252,19,0,8,0.12096774193548387,0,15,0,499,No[o]ne-,1984,False,0,15276,16500,1,68,0,0,168,4,1,1,0,0,0,0,0,False,0,0,11,2488,2699,3,0.5714286,0.8381258797506536,423
